Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
60,41917.15270280838,41760.93637943268,41639.02252912521,41562.72113323212,41501.984000205994
80,36413.051187992096,36358.51293802261,36288.753151893616,36226.51845216751,36193.400621414185
100,58846.88347578049,58842.80800819397,58866.724371910095,58919.09450292587,58984.39884185791
120,125619.18795108795,125544.20530796051,125417.72425174713,125358.96897315979,125317.17121601105
150,88682.80053138733,88070.63102722168,87528.38522195816,87025.83611011505,86564.60046768188
240,13406.367972493172,13413.237407803535,13427.073135972023,13438.859954476357,13447.755947709084
250,39606.429636478424,39793.80428791046,40016.61390066147,40271.3268995285,40543.846786022186
270,82009.84448194504,82132.13086128235,82249.83513355255,82332.67068862915,82377.52318382263
660,111034.22939777374,111111.65583133698,111081.36177062988,110941.11204147339,110591.90332889557
670,655705.8095932007,655341.8040275574,655730.0686836243,656804.3231964111,658147.8714942932
720,43482.109904289246,43334.245681762695,43217.39077568054,43147.5043296814,43090.98422527313
810,203111.2015247345,202724.51639175415,202330.5594921112,201953.08327674866,201511.50226593018
880,29134.230688214302,29051.10828578472,28955.20068705082,28851.12352669239,28756.98171555996
990,70051.52851343155,70336.62497997284,70510.56623458862,70588.14913034439,70601.80604457855
1230,17378.52953374386,17341.995611786842,17312.875017523766,17289.472743868828,17276.974394917488
1440,6082.599982619286,6085.308268666267,6088.258698582649,6090.911105275154,6093.243137001991
1450,31070.666387677193,31025.918200612068,30989.887192845345,30952.682718634605,30905.4683893919
1740,6715.336814522743,6714.4278436899185,6713.2618278265,6712.036207318306,6710.672751069069
2380,341910.9880924225,341729.22372817993,341460.10875701904,341335.86287498474,341451.88331604004
2790,45909.8145365715,45724.65270757675,45573.49532842636,45442.163944244385,45309.118926525116
3000,10710.762813687325,10667.620226740837,10626.843199133873,10581.744834780693,10537.950322031975
3090,29116.110876202583,29085.414484143257,29074.108228087425,29089.37819302082,29113.175347447395
3380,9783.679619431496,9763.291105628014,9741.86696112156,9723.374620079994,9705.955162644386
3410,7449.077442288399,7446.734234690666,7444.242015480995,7441.380992531776,7438.415661454201
3490,29601.113870739937,29544.750228524208,29489.291831851006,29428.12256515026,29368.696734309196
3670,126062.69121170044,126502.48408317566,126834.95879173279,127116.68014526367,127496.3915348053
3800,42532.47380256653,42548.20942878723,42546.14561796188,42538.27780485153,42514.09322023392
4000,81527.67270803452,81681.35583400726,81834.27155017853,81980.8691740036,82135.1557970047
4020,41354.24643754959,41282.2887301445,41228.003799915314,41183.844208717346,41152.61882543564
4170,252050.4593849182,251882.6127052307,251604.43782806396,251228.89876365662,250839.41221237183
4370,296786.5467071533,294837.02778816223,293001.2047290802,291266.5903568268,289675.2655506134
4490,69402.90331840515,68801.75322294235,68332.15057849884,67906.06677532196,67517.25822687149
4800,82957.26776123047,82916.85581207275,82876.71208381653,82866.78045988083,82874.77493286133
4990,33302.41143703461,33347.4725484848,33383.63021612167,33422.7979183197,33468.88720989227
5250,20977.819338440895,20932.46765434742,20887.771621346474,20843.038335442543,20826.702937483788
5290,39662.48780488968,39921.991527080536,40166.98896884918,40377.117693424225,40526.47948265076
5300,185193.2555437088,184949.41294193268,184728.05619239807,184660.1516008377,184814.1849040985
5380,181795.77589035034,182124.5551109314,182402.3425579071,182576.5073299408,182673.379778862
5385,90864.81481790543,90978.42872142792,91103.97845506668,91228.83528470993,91339.05172348022
5387,91650.68715810776,91731.03421926498,91811.6346001625,91873.71283769608,91898.72443675995
5490,284920.6328392029,285509.04989242554,286115.6165599823,286755.234003067,287359.20786857605
5830,65201.468765735626,65124.19134378433,65115.7945394516,65124.41486120224,65105.363726615906
5850,26212.560012936592,26411.70285642147,26572.74715602398,26723.766699433327,26867.36173927784
5930,67308.30669403076,67369.41635608673,67385.32334566116,67358.04677009583,67298.24841022491
5935,60155.54070472717,60196.466743946075,60196.906328201294,60173.34759235382,60145.08008956909
5940,9942.000731825829,9915.942326188087,9896.578267216682,9882.407262921333,9871.909394860268
6260,57492.80750751495,57682.99847841263,57818.420231342316,57924.41964149475,58009.72878932953
6280,181756.51133060455,181752.18999385834,181949.183344841,182344.12372112274,182858.9141368866
6360,40985.509753227234,40793.81376504898,40642.99911260605,40535.59899330139,40447.4139213562
6400,590131.9980621338,591399.7888565063,592384.397983551,592476.6659736633,592073.8577842712
6650,148918.80750656128,148771.7181444168,148621.18661403656,148469.58220005035,148291.6921377182
6730,9333.36652815342,9288.495406508446,9244.149550795555,9199.464693665504,9158.333763480186
6800,7451.6888707876205,7449.60643351078,7448.0753391981125,7447.0993131399155,7446.015253663063
7070,27137.19941675663,27065.77442586422,26994.774118065834,26922.17566072941,26849.964633584023
7310,445826.1728286743,445047.1103191376,444800.9729385376,444749.29571151733,444381.08801841736
7390,16546.63123190403,16589.822247624397,16618.574038147926,16635.777428746223,16654.65719997883
8560,7063.088938593864,7059.575989842415,7056.215777993202,7053.757086396217,7051.708176732063
8770,78323.00662994385,78036.04751825333,77758.09615850449,77501.59502029419,77282.31698274612
8930,46643.42850446701,46711.87698841095,46841.23396873474,47005.40006160736,47195.65808773041
9150,159948.12548160553,159819.45395469666,159517.86935329437,159046.63503170013,158413.41018676758
9240,72799.75712299347,72494.7452545166,72247.10285663605,72032.31751918793,71800.55230855942
9540,89756.7868232727,89615.65047502518,89459.34474468231,89283.13106298447,89126.78062915802
9830,32086.893916130066,32109.610736370087,32117.746770381927,32116.197049617767,32170.78000307083
9900,21788.092330098152,21854.566410183907,21922.37414419651,21995.32650411129,22047.152742743492
10060,105263.96334171295,105565.07110595703,105697.21460342407,105755.5079460144,106215.65580368042
10120,48085.443675518036,48143.498599529266,48195.190727710724,48241.85371398926,48270.23297548294
10130,556507.1702003479,557208.5976600647,558148.5033035278,559066.9512748718,560065.0310516357
10620,80959.2455625534,80774.31470155716,80604.39676046371,80452.8072476387,80386.31081581116
10780,51548.62999916077,51367.33502149582,51179.26001548767,51018.87136697769,50889.25361633301
10950,105641.6928768158,105584.08498764038,105462.38720417023,105359.09235477448,105325.5945444107
11000,11299.265548586845,11334.771290421486,11380.473151803017,11427.13613808155,11458.927765488625
11070,345191.50853157043,345859.169960022,347007.98988342285,348836.2729549408,351134.59825515747
11170,193676.2034893036,194048.1811761856,194362.87879943848,194580.70397377014,194679.1112422943
11200,28826.801106333733,28910.07624566555,29067.793861031532,29250.56777894497,29437.342658638954
11210,64418.725669384,64458.61607789993,64460.6351852417,64430.26661872864,64386.54661178589
11780,149371.53458595276,149579.0332555771,149810.35888195038,150048.49433898926,150278.40435504913
12330,201857.25390911102,201730.96656799316,201569.24426555634,201453.89437675476,201362.743973732
12450,53249.61245059967,53153.201937675476,53056.955337524414,52961.15577220917,52916.0350561142
12510,40463.93930912018,40300.04143714905,40149.204432964325,39994.098246097565,39853.11836004257
12750,69328.94140481949,69505.82563877106,69712.28867769241,69924.38435554504,70091.46362543106
13120,6793.679669499397,6792.614236474037,6791.332736611366,6789.537146687508,6787.547841668129
13890,64637.55667209625,64259.663224220276,63912.0489358902,63655.70425987244,63440.7103061676
14680,243860.8855009079,246305.48059940338,248057.4995279312,249117.29991436005,249770.74563503265
15750,6728.654727339745,6731.810048222542,6734.387949109077,6736.507639288902,6738.552823662758
15760,22077.59954035282,22091.99033677578,22126.970812678337,22181.501612067223,22249.827161431313
16360,39004.68349456787,38911.89396381378,38844.71207857132,38796.00018262863,38759.63389873505
16380,18431.81438744068,18311.01067364216,18195.057287812233,18079.625442624092,17983.106896281242
17670,58942.168951034546,58893.97859573364,58801.814913749695,58686.14464998245,58567.67296791077
17800,35451.07692480087,35361.78916692734,35266.95817708969,35171.14371061325,35077.33345031738
18260,142181.99253082275,142450.07932186127,142707.49688148499,142952.15904712677,143199.622631073
18880,10538.66557776928,10518.545284867287,10500.354692339897,10490.557178854942,10481.713339686394
19170,30815.226957201958,30678.289011120796,30536.269769072533,30371.38096988201,30215.004459023476
20150,86883.32140445709,87407.96893835068,87913.25986385345,88076.42012834549,87917.05965995789
21240,69766.8269276619,69865.53221940994,69947.21293449402,70024.95974302292,70066.51908159256
22100,7004.210725426674,7004.695013165474,7006.98234140873,7009.463384747505,7011.7320865392685
23530,96205.91998100281,96273.42969179153,96341.1033153534,96407.35387802124,96459.82086658478
24110,10426.709428429604,10422.74571955204,10423.565283417702,10426.7168790102,10428.758338093758
