Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
60,39122.19565986302,39654.59844368764,39758.1005496872,40702.768949322,39972.613510032286
80,35500.2384510546,35192.89003299605,34946.25670188148,35632.00550262412,36072.666317535775
100,58358.56210904794,59274.16650045152,59124.617652677916,59551.2738921637,59800.73751054532
120,124104.94391024491,122835.94853789345,125311.48172663117,125546.25291166015,127358.50796304332
150,79480.72869582352,80421.18768472785,79849.72753271091,80371.520023231,80525.00750902905
240,14043.447679771223,14021.406974605756,14341.745644715224,13899.715465986601,14058.093246156515
250,42385.78539566679,43262.98431982296,43693.07372122061,44082.71343009447,44118.533826644554
270,82815.36133083612,83145.54659417446,82919.32161436047,82347.40916273027,82241.60307228993
660,112299.9913067686,112602.91200141079,108394.6237876437,107416.42788695941,103549.01718235297
670,662646.036862454,667361.6290772944,667684.1478781672,671526.4480272458,671744.7256150886
720,40931.544432990326,40883.70810666893,41908.753327857616,42187.919800756004,42285.49906122724
810,199876.9152822915,199263.7616378003,197801.6660438745,198478.19175634085,196717.6339760498
880,28070.255620197815,27954.924049849345,27638.585863814667,27517.558093030097,27581.085616887518
990,72697.16409384632,73472.26016173555,69923.04838118855,70005.77428456776,69508.2141212419
1230,17189.48405757459,17388.271481078587,17287.81706666759,17543.91395655896,17636.95364880054
1440,2051.7790558889988,2161.6563374280026,2079.2545896485894,2063.58053998417,2066.0059035675067
1450,30164.555079390233,30464.107249038745,30470.193265108814,30249.381869545177,30091.873727048976
1740,4648.084813923251,4646.480938517042,4590.323055511307,4599.57042916573,4622.065154382432
2380,340429.7597323967,342456.6965996849,337537.5064384609,346524.7296699299,343334.4629129786
2790,42870.41443594991,43363.6459245051,43529.81615917946,43351.34946034136,43233.85288164341
3000,10643.692097529973,10731.188878880082,10520.737874700115,10434.396897701119,10516.922090859312
3090,28588.097003416286,29159.67104329531,29301.058352921173,29633.39886619338,29690.12814165036
3380,10186.736161242929,9978.874304798399,10003.874778390722,10049.395608929854,10054.069863692002
3410,7792.781853761788,7773.232668211627,7698.97496386463,7770.284798439991,7733.838475852548
3490,28775.972859214835,28680.868588790097,28649.452648167426,28498.21317604789,28583.20148210267
3670,135672.95289786634,131637.49643444485,127596.53784073035,131478.94432988338,131878.4491920743
3800,42783.16105587831,42681.07995752504,42302.17668865392,42374.5569828313,42021.67169078729
4000,83470.0249235472,83642.18055587867,83473.69405127445,83300.95661180753,84087.90708183774
4020,40110.40824876783,40233.3941307986,40377.20175318673,40546.36416586794,40929.80413904091
4170,247860.40490967836,247184.830718592,246040.22208692695,244140.28454135358,244370.40981666395
4370,277811.59459609614,276888.13496698596,275607.344409723,274626.57608584815,274166.6455673972
4490,58467.03259231846,62413.620161283034,62082.409376574484,62021.7650651982,61943.0607052957
4800,82216.79865165228,82112.62908913702,82138.99412799248,82890.33302725243,83238.21061018737
4990,33893.73618633346,33958.495364407645,33686.94609871206,34026.00346476947,34108.99357243591
5250,20314.959263820092,21103.99337339302,20327.81518397869,20726.25763252454,21391.009150370795
5290,42644.86699074492,44612.9946970732,43183.10289819755,42379.16031491672,41833.99567981124
5300,182495.93984757678,183240.80699605684,182097.39861482213,191382.78971982567,185333.28108991237
5380,185041.39222980035,187124.83574483762,184526.67822082658,182973.07010017947,183824.3411033237
5385,92160.08951042732,92912.56430604997,92571.22356341092,92440.44347092927,92814.38438900659
5387,92622.15120209161,93177.97471818714,92599.72238790845,92247.43170461031,92142.35831764554
5490,289475.1327983901,290680.59838678973,289143.382849296,289936.89585567295,292891.5310595377
5830,63256.90160810945,64574.4499024261,65183.59516256533,64440.596749258744,64261.905356970274
5850,29616.45774146771,29043.029601611208,28807.145199800132,29029.093510986302,28938.322305488
5930,67977.35926186919,67826.31153326572,66568.15050168021,66327.85012633521,65920.23090597818
5935,60709.26259930672,60203.651956107155,59320.54144135371,59812.23300218525,59894.87691851502
5940,10192.924206863378,10286.326534293603,10324.197098911969,10404.369154549882,10467.166882237061
6260,60649.05683440364,58866.06285921331,58923.396086094705,58682.925256236565,58658.20499486664
6280,180462.39386080633,186984.56588552534,186609.62814830855,188189.96439300032,190045.6467425964
6360,37866.70417561576,37891.94736436366,38612.21861598053,39128.15750611132,39521.98777978163
6400,600386.2391727192,607014.2077309001,580898.1566520436,584889.713982833,581438.7536960772
6650,148928.2927822874,149200.90976877068,146158.19874813207,146236.5494461105,146708.24610506243
6730,9296.750484850276,9254.596081408286,9062.43651995449,9102.307826431881,9168.934404923419
6800,7958.922054070093,7962.4217961577215,7939.651571513873,7949.205570952076,7930.670103755769
7070,26069.33216532901,26065.549819062926,25909.156213590362,25859.98430567084,25849.175215215095
7310,445682.2208606,451493.13753844093,449092.0534218809,446421.22565796756,441825.90859475033
7390,17756.767274709426,17659.385376729515,17163.194012668504,17406.8024863728,17482.339633705506
8560,5997.588481355427,6037.200780588225,6028.488272908749,6078.382159781139,6076.679826757842
8770,74229.24326528277,74137.14455809827,73819.24330285349,73926.66462268622,74259.34022393767
8930,46925.483368453155,48991.05823058468,48353.75699533164,50102.58783056155,49030.46559609981
9150,158594.76610972662,159023.5358387947,154126.5496263538,152197.37676279724,150140.46088396636
9240,67366.7276434718,68447.22480738562,68630.8225169962,68053.81149330386,67689.03534187571
9540,87412.56230148273,87906.92166224572,86641.90246463515,86299.70926477498,88394.91559166799
9830,33258.35792713017,32676.642849459244,31924.952914511698,32286.90999103057,35058.503249844536
9900,23221.237893227724,23219.31267587531,23063.563706865338,23419.388945593444,22468.82197383842
10060,110438.20352635022,107527.39098072164,104349.34689765178,106861.61563163382,115634.87532857797
10120,49185.42777499753,48768.90277151854,48685.67542867123,48896.392452282016,48314.867151404316
10130,572396.6854420586,576138.2507811231,563548.7109403987,566159.4113152551,573884.2326611131
10620,78366.36878279844,78387.33025572947,77847.34981182376,78158.67358404062,82244.97080548195
10780,48601.04404897093,48726.46486615454,48000.375528383665,48543.035929760576,48451.10916818831
10950,104921.44388165126,104217.30733871607,103234.80128900087,105148.52609129128,105631.21723505078
11000,12422.644633693211,12985.685466115374,13065.620115089001,12775.913119271581,12418.907828325966
11070,344154.1720867994,364841.5772834619,357308.75342067,377111.4560751018,372032.6853622691
11170,198929.05292271817,199730.80725526958,196640.93454841577,194821.40456956215,196066.45676656155
11200,30052.08629945644,31459.844728146094,32402.742254284713,32221.56159238107,32515.663134098573
11210,64364.00517933203,64728.399217088896,63291.33129842101,63494.6084108973,63519.84631837351
11780,152229.30685418326,154046.5686101894,152682.90128865556,153886.3387886822,153880.51530029022
12330,201677.34805573648,202558.29863953165,199067.83993155067,201703.5649480366,201396.65421698915
12450,51008.43419514357,51873.54877173058,51078.760487504805,51539.21319205113,53080.33474145237
12510,38016.815653140795,37940.362933001095,37577.45508281872,37513.26146211279,37752.6465606787
12750,71417.14406613026,72640.78489763616,72703.75588574959,72164.89452420827,72336.58567045467
13120,4957.983160649539,4963.301511872642,4880.608318290118,4873.283187704438,4849.63330858788
13890,58455.71803284087,59307.33997565838,59067.192571917636,61107.18040176653,59676.425815103175
14680,267659.0100668721,263958.27340200427,250898.5911002192,249475.60248488674,247358.6383359821
15750,4988.933073128223,4931.389374426169,4937.132029741735,4919.6871349232815,4902.378542219638
15760,22702.474798828312,22687.75095662309,23553.204161454618,23480.8733394532,23753.94806727026
16360,37634.13168177252,37728.08952005152,37956.335687622464,38154.32655107022,38509.22227915028
16380,17048.202440295398,16747.21850071691,16823.140524413247,16536.543757422187,17290.85162282143
17670,58208.94032489709,57278.59918708793,56591.698000505465,56405.555157440045,56896.7369855608
17800,34072.70240611004,34080.57635812834,33777.40726516479,33780.76557776355,33728.027867326564
18260,145863.98058820283,146408.22111004172,145816.81557619694,146606.3266412186,147021.36943212172
18880,10869.684647889528,10780.23208928495,10899.121979561378,11022.23378378624,11015.263919689041
19170,28290.65587233182,29074.54914122268,27920.322777436613,27778.932186381076,28106.98391365076
20150,93852.91395268934,93545.82374150385,92493.5094835223,84585.38947955775,82121.5051511688
21240,70619.65157163607,70973.5777970613,70678.4714581262,70686.78191177853,70000.97036810867
22100,6158.0796603959425,6262.542941205321,6087.264558581473,6180.512261910856,6100.322840734965
23530,96093.29372242883,96955.24755372424,96847.6021782662,97078.74103218758,96479.88935317473
24110,10983.301310581392,11026.150319487611,11105.843231222789,11094.216983596603,11104.890119955136
25900,85000.25931965047,85585.1274771589,84254.94586807002,82271.49383576369,82065.73090535756
25980,7937.7611256737255,7908.454030642123,7753.216082077421,7746.7129416528105,7763.847687905089
26960,26644.85105122066,26658.701078032173,26735.694460317038,26757.493602930692,26998.235924749228
27360,3352.6769957651113,3330.2817626462675,3293.042339499011,3267.0334669375143,3284.7941336036324
28050,24117.046016345004,23588.60571321417,23191.434040644566,23186.751173976052,24024.43983424631
28260,116058.90246948184,116887.98723603526,114820.61401213505,115834.68824620909,115391.15793800312
28300,47513.71320858248,48356.50196790813,47494.00992700623,47560.68377972057,47803.664912677385
28670,7908.519944392085,7914.952532056786,8041.376241700481,7949.905838805823,7946.409548422988
29780,33285.22706814458,33246.80724597683,33281.26514937107,33447.02669891494,33457.66008249864
30000,25261.57521610454,25397.820167335845,25306.83716121117,25719.69039010848,25292.830975407072
30190,16504.11109539523,16602.695982784317,16304.634640592703,16272.546097505316,16423.907489774712
30200,35850.305438209885,35919.96227611489,35890.02436250441,36794.375979807126,36972.89217550145
30520,22759.02059694764,22623.33162221249,21435.700350991832,21080.940721882947,20540.06767701862
31390,0.0,0.0,0.0,0.0,0.0
31430,38386.127079723585,35993.331320917096,35578.031598051995,37566.659816444066,37034.16825792362
32190,12889.541194266149,12835.800233983842,12669.782723958419,12738.236807283072,12732.555129623273
32300,31444.145901003085,34658.44628741772,33252.13253411701,32251.86282180668,32184.81373064292
